section,measure_code,measure_label,category,n,mean,sd,median,ci95_half_width,cronbach_alpha,frequency,denominator,notes
likert_item,D1,D1–D7 Learnability: [(D1) The DSL concepts and keywords were meaningful (I understood what blocks/parameters represent).],,40,4.0250,0.9195,4.0000,0.2941,,,,
likert_item,D2,D1–D7 Learnability: [(D2) The DSL concepts were easy to learn.],,40,3.9750,0.9195,4.0000,0.2941,,,,
likert_item,D3,"D1–D7 Learnability: [(D3) After completing the tasks, the DSL concepts were easy to remember.]",,40,3.7750,1.0497,4.0000,0.3357,,,,
likert_item,D4,D1–D7 Learnability: [(D4) The structure of the IoT model (Things/ports/connectors) was understandable.],,40,3.7500,1.0801,4.0000,0.3454,,,,
likert_item,D5,D1–D7 Learnability: [(D5) The structure of the data_analytics block was understandable.],,40,3.8500,1.1220,4.0000,0.3588,,,,
likert_item,D6,"D1–D7 Learnability: [(D6) I could follow the message flow between Things (who sends what to whom, and when).]",,40,3.7250,1.0374,4.0000,0.3318,,,,
likert_item,D7,D1–D7 Learnability: [(D7) ML2++ is suitable for its target users (people building IoT + time-series forecasting workflows).],,40,4.0500,0.9323,4.0000,0.2982,,,,
likert_item,E1,E1–E9 Pipeline support: [(E1) The tool handled the provided dataset size with reasonable runtime (no freezes/crashes/timeouts).],,40,4.2250,0.9997,4.5000,0.3197,,,,
likert_item,E2,"E1–E9 Pipeline support: [(E2) It was clear how inputs/outputs are specified (e.g., features, output_features, timestamps).]",,40,4.0750,1.1851,4.0000,0.3790,,,,
likert_item,E3,"E1–E9 Pipeline support: [(E3) Preprocessing directives were understandable (e.g., resampling, alignment, missing values).]",,40,3.7000,1.1140,4.0000,0.3563,,,,
likert_item,E4,"E1–E9 Pipeline support: [(E4) Time-series settings were understandable (e.g., horizon/steps, lag window, multivariate, supervised_learning).]",,40,3.8500,1.2720,4.0000,0.4068,,,,
likert_item,E5,"E1–E9 Pipeline support: [(E5) It was easy to modify forecasting model hyperparameters (e.g., epochs, layers, dropout, optimizer, learning rate).]",,40,4.2750,1.0374,5.0000,0.3318,,,,
likert_item,E6,"E1–E9 Pipeline support: [(E6) It was easy to modify time-series parameters (e.g., steps/horizon, lag length, multivariate, supervised_learning).]",,40,4.0000,1.2403,4.0000,0.3967,,,,
likert_item,E7,"E1–E9 Pipeline support: [(E7) ML2++ provides sufficient constructs/options for specifying realistic forecasting pipelines (e.g., preprocessing, model definition, evaluation settings).]",,40,4.1250,0.9111,4.0000,0.2914,,,,
likert_item,E8,E1–E9 Pipeline support: [(E8) ML2++ automated key steps ( preprocess → train → predict → visualize).],,40,4.3750,1.0048,5.0000,0.3213,,,,
likert_item,E9,"E1–E9 Pipeline support: [(E9) After edits, the effect on logs/plots was understandable ( changes in runtime, metrics/curves, forecast plots).]",,40,3.9500,1.0365,4.0000,0.3315,,,,
likert_item,E11,"(E11) Effort comparison: Compared to implementing the same pipeline directly in Python, ML2++ would reduce my effort for repeated experimentation.",,28,4.0714,0.8133,4.0000,0.3153,,,,
likert_item,G1,"G1–G2 Visualization: [(G1) The plots helped me understand data preparation, model training behavior, and forecasting results.]",,40,4.0250,1.0250,4.0000,0.3278,,,,
likert_item,G2,G1–G2 Visualization: [(G2) It was clear which DSML setting controls which plot (visualization block vs model block).],,40,3.8250,0.9842,4.0000,0.3148,,,,
likert_item,J1,"J1–J3 Code quality: [(J1) Generated code quality: The generated code is readable, well-structured, and correct.]",,40,4.0750,0.9711,4.0000,0.3106,,,,
likert_item,J2,"J1–J3 Code quality: [(J2) Maintainability: If I had to update the solution later (e.g., new dataset, new horizon), it would be easy.]",,40,4.0000,0.9337,4.0000,0.2986,,,,
likert_item,J3,J1–J3 Code quality: [(J3) Flexibility: I can change models/hyperparameters/thresholds or add steps without workarounds.],,40,4.0750,0.9711,4.0000,0.3106,,,,
likert_item,H1,"H1–H5 Satisfaction: [(H1) Overall, I am satisfied with ML2++ for using a prepared forecasting model.]",,40,4.1750,0.8130,4.0000,0.2600,,,,
likert_item,H2,"H1–H5 Satisfaction: [(H2) Overall, I am satisfied with ML2++ for safe edits and repeated experimentation.]",,40,4.1500,0.9487,4.0000,0.3034,,,,
likert_item,H3,"H1–H5 Satisfaction: [(H3) Overall, I am satisfied with ML2++’s automated visualization support.]",,40,4.2500,0.8987,4.0000,0.2874,,,,
likert_item,H4,"H1–H5 Satisfaction: [(H4) Overall, I am satisfied with ML2++ for generating and running runnable artifacts.]",,40,4.2500,0.8987,4.0000,0.2874,,,,
likert_item,H5,"H1–H5 Satisfaction: [(H5) In the future, I would use ML2++ (or recommend it) for similar forecasting tasks.]",,40,4.0250,0.9195,4.0000,0.2941,,,,
construct,workflow_usability,Workflow usability,,40,4.5050,0.5002,4.6000,0.1600,0.7206,,,
construct,learnability,Learnability,,40,3.8786,0.8220,3.9286,0.2629,0.9142,,,
construct,pipeline_support,Pipeline support,,40,4.0639,0.8654,4.1667,0.2768,0.9249,,,
construct,visualization_support,Visualization support,,40,3.9250,0.9306,4.0000,0.2976,0.8342,,,
construct,generated_code_quality,Perceived generated-code quality,,40,4.0500,0.8390,4.0000,0.2683,0.8471,,,
construct,satisfaction_adoption,Satisfaction/adoption,,40,4.1700,0.8109,4.2000,0.2593,0.9442,,,
error_handling,F2,Error-message clarity,,6,3.8333,1.4720,4.0000,1.5447,,,,
error_handling,F3,Error actionability,,6,3.8333,1.4720,4.0000,1.5447,,,,
error_handling,F4a,Model/specification problem,,6,2.8333,1.4720,3.5000,1.5447,,,,
error_handling,F4b,Code-generation problem,,6,2.6667,1.3663,2.5000,1.4338,,,,
error_handling,F4c,Execution/runtime problem,,6,2.6667,1.6330,2.5000,1.7137,,,,
error_handling,F5,Recovery,,6,4.3333,0.8165,4.5000,0.8569,,,,
error_handling,F6,Auto-completion/guidance,,6,4.0000,1.0954,4.0000,1.1496,,,,
workload,I1,"I1 Mental demand: How mentally demanding were the tasks (thinking, deciding, concentrating)? (0–20)",,36,8.9444,5.5133,10.0000,1.8654,,,,
workload,I2,I2 Temporal demand: How much time pressure did you feel while doing the tasks? (0–20),,36,7.0556,5.3769,6.5000,1.8193,,,,
workload,I3,I3 Effort: How hard did you have to work to accomplish the tasks? (0–20),,34,6.9118,5.5068,5.0000,1.9214,,,,
workload,I4,"I4 Frustration: How irritated, stressed, or annoyed did you feel during the tasks? (0–20)",,35,5.2000,5.4869,5.0000,1.8848,,,,
workload,I5,"I5 Performance: How successful were you in accomplishing the tasks? (0 = excellent, 20 = very poor) (0–20)",,36,8.0556,8.1939,4.5000,2.7724,,,,
workload,I6,"I6 Physical demand: How physically demanding were the tasks (e.g., fatigue from long sitting)? (0–20)",,36,4.5833,6.3802,2.0000,2.1588,,,,
workload,overall,Complete-case unweighted workload composite,,34,6.7549,4.6998,6.9167,1.6398,,,,
friction,C6,Main friction point,Run,,,,,,,11,40,
friction,C6,Main friction point,Copy/paste model,,,,,,,7,40,
friction,C6,Main friction point,Save,,,,,,,4,40,
friction,C6,Main friction point,Forecasting plots,,,,,,,3,40,
friction,C6,Main friction point,Crash/timeout,,,,,,,2,40,
friction,C6,Main friction point,Other/no major friction/individual comments,,,,,,,13,40,
helpful_output,G3,Most helpful output,Forecast vs actual plots,,,,,,,17,40,
helpful_output,G3,Most helpful output,Generated code,,,,,,,7,40,
helpful_output,G3,Most helpful output,Console/logs,,,,,,,6,40,
helpful_output,G3,Most helpful output,Training/overfitting plots,,,,,,,6,40,
helpful_output,G3,Most helpful output,Preprocessing plots,,,,,,,2,40,
helpful_output,G3,Most helpful output,Other/all/not able to evaluate,,,,,,,2,40,
visualization_theme,G4,Additional visualization requested,Re-named an already-available forecast/line plot,,,,,,,9,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Don't know / no answer / not applicable,,,,,,,7,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Confidence intervals / uncertainty bands,,,,,,,2,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Residual or error-pattern plots,,,,,,,2,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Learning-curve / overfitting diagnostics,,,,,,,3,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Satisfied with current plot set,,,,,,,3,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Comparison plot across runs/configurations,,,,,,,1,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Seasonal/trend statistical diagnostics,,,,,,,1,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Dataset/attribute summary,,,,,,,1,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Evaluation-metrics summary,,,,,,,1,33,Single-coder thematic count; verbatim responses are not public.
visualization_theme,G4,Additional visualization requested,Other,,,,,,,3,33,Single-coder thematic count; verbatim responses are not public.
